DateID,DOW,Price,Holiday,Skies,HiTemp,Wind,NewSnow,BaseDepth,GuestCount,Month
20161210,Saturday,Weekday,n,Snow,33,12,3,16,291,December
20161211,Sunday,Weekday,n,Snow,23,4,4,29,541,December
20161212,Monday,Weekday,n,Sun,22,8,0,29,183,December
20161213,Tuesday,Weekday,n,Snow,25,19,6,34,555,December
20161214,Wednesday,Weekday,n,Fog,13,17,0,34,19,December
20161215,Thursday,Weekday,n,Sun,14,16,0,34,65,December
20161216,Friday,Weekday,n,Cloudy,13,15,0,34,22,December
20161217,Saturday,Peak,n,Snow,15,8,3,40,717,December
20161218,Sunday,Peak,n,Cloudy,29,12,0,40,215,December
20161219,Monday,Weekday,n,Snow,27,11,1,41,421,December
20161220,Tuesday,Weekday,n,Snow,20,8,1,42,467,December
20161221,Wednesday,Weekday,n,Snow,26,18,23,60,331,December
20161222,Thursday,Weekday,n,Snow,16,12,10,69,635,December
20161223,Friday,Weekday,n,Snow,15,17,6,74,1165,December
20161224,Saturday,Peak,y,Snow,14,13,2,76,1227,December
20161225,Sunday,Peak,y,Cloudy,6,7,0,76,546,December
20161226,Monday,Peak,y,Cloudy,3,5,0,73,502,December
20161227,Tuesday,Peak,y,Cloudy,-4,14,0,73,676,December
20161228,Wednesday,Peak,y,Cloudy,0,4,0,72,666,December
20161229,Thursday,Peak,y,Snow,3,2,3,74,1357,December
20161230,Friday,Peak,y,Sun,2,5,0,74,959,December
20161231,Saturday,Peak,y,Sun,-3,5,0,72,957,December
20170101,Sunday,Peak,y,Sun,-4,8,0,72,662,January
20170102,Monday,Peak,y,Sun,3,10,0,70,505,January
20170103,Tuesday,Weekday,n,Sun,15,11,0,70,193,January
20170104,Wednesday,Weekday,n,Snow,19,7,2,70,792,January
20170105,Thursday,Weekday,n,Snow,25,7,1,70,692,January
20170106,Friday,Weekday,n,Fog,23,2,0,70,195,January
20170107,Saturday,Peak,n,Snow,15,5,1,71,1014,January
20170108,Sunday,Peak,n,Cloudy,14,9,0,71,330,January
20170109,Monday,Weekday,n,Sun,17,9,0,69,446,January
20170110,Tuesday,Weekday,n,Sun,11,5,0,69,277,January
20170111,Wednesday,Weekday,n,Snow,13,4,2,70,607,January
20170112,Thursday,Weekday,n,Sun,18,9,0,69,480,January
20170113,Friday,Peak,y,Snow,22,11,6,72,1216,January
20170114,Saturday,Peak,y,Snow,17,12,8,78,1585,January
20170115,Sunday,Peak,y,Snow,14,5,2,82,1328,January
20170116,Monday,Peak,y,Cloudy,19,9,0,80,957,January
20170117,Tuesday,Weekday,n,Snow,24,9,4,82,738,January
20170118,Wednesday,Weekday,n,Snow,23,12,5,87,792,January
20170119,Thursday,Weekday,n,Snow,23,11,3,90,745,January
20170120,Friday,Weekday,n,Snow,20,14,3,92,740,January
20170121,Saturday,Peak,n,Cloudy,22,8,0,92,554,January
