olid,orderid,productid,qty,lineprice,linetotal,builtdate,promisedate,deldate
42005,28448,13,2,4.95,9.90,,,2022-01-01
42006,28448,16,1,79.00,79.00,,,2022-01-01
42007,28449,18,1,24995.00,24995.00,2022-04-27,2022-05-01,2022-05-07
42008,28449,16,1,79.00,79.00,,2022-05-01,2022-05-07
42009,28449,13,2,4.95,9.90,,2022-05-01,2022-05-07
42010,28450,18,1,24995.00,24995.00,2022-04-25,2022-05-01,2022-05-05
42011,28450,10,1,995.00,995.00,,2022-05-01,2022-05-05
42012,28450,17,1,495.00,495.00,,2022-05-01,2022-05-05
42013,28450,13,4,4.95,19.80,,2022-05-01,2022-05-05
42014,28451,11,1,17995.00,17995.00,2022-04-25,2022-05-01,2022-05-06
42015,28451,10,1,995.00,995.00,,2022-05-01,2022-05-06
42016,28451,14,1,449.00,449.00,,2022-05-01,2022-05-06
42017,28452,11,1,17995.00,17995.00,2022-04-29,2022-05-01,2022-05-06
42018,28453,13,3,4.95,14.85,,,2022-01-01
42019,28454,18,1,24995.00,24995.00,2022-04-28,2022-05-01,2022-05-14
42020,28454,16,3,79.00,237.00,,2022-05-01,2022-05-14
42021,28454,15,1,995.00,995.00,,2022-05-01,2022-05-14
42022,28455,11,1,17995.00,17995.00,2022-04-27,2022-05-01,2022-05-13
42023,28455,16,1,79.00,79.00,,2022-05-01,2022-05-13
42024,28455,12,1,699.00,699.00,2022-05-01,2022-05-13
42025,28455,13,2,4.95,9.90,,2022-05-01,2022-05-13
42026,28456,11,1,17995.00,17995.00,2022-04-21,2022-05-01,2022-04-26
42027,28456,14,1,449.00,449.00,,2022-05-01,2022-04-26
42028,28457,13,5,4.95,24.75,,,2022-01-01
42029,28458,19,1,27995.00,27995.00,2022-05-19,2022-05-01,2022-06-02
42030,28458,10,1,995.00,995.00,,2022-05-01,2022-06-02
42031,28458,16,1,79.00,79.00,,2022-05-01,2022-06-02
42032,28458,12,1,699.00,699.00,2022-05-01,2022-06-02
42033,28458,15,1,995.00,995.00,,2022-05-01,2022-06-02
42034,28459,16,1,79.00,79.00,,,2022-01-01
42035,28460,18,1,24995.00,24995.00,2022-04-28,2022-05-01,2022-05-01
42036,28460,10,1,995.00,995.00,,2022-05-01,2022-05-01
42037,28460,12,1,699.00,699.00,2022-05-01,2022-05-01
42038,28460,15,1,995.00,995.00,,2022-05-01,2022-05-01
42039,28460,13,4,4.95,19.80,,2022-05-01,2022-05-01
42040,28461,19,1,27995.00,27995.00,2022-05-11,2022-05-02,2022-05-19
42041,28461,10,1,995.00,995.00,,2022-05-02,2022-05-19
42042,28461,16,1,79.00,79.00,,2022-05-02,2022-05-19
42043,28461,15,1,995.00,995.00,,2022-05-02,2022-05-19
42044,28462,18,1,24995.00,24995.00,2022-05-01,2022-05-02,2022-05-02
42045,28462,14,1,449.00,449.00,,2022-05-02,2022-05-02
42046,28463,18,1,24995.00,24995.00,2022-04-30,2022-05-02,2022-05-16
42047,28463,10,1,995.00,995.00,,2022-05-02,2022-05-16
42048,28463,14,1,449.00,449.00,,2022-05-02,2022-05-16
42049,28463,13,2,4.95,9.90,,2022-05-02,2022-05-16
42050,28464,19,1,27995.00,27995.00,2022-05-13,2022-05-02,2022-05-24
42051,28464,12,1,699.00,699.00,2022-05-02,2022-05-24
42052,28464,14,1,449.00,449.00,,2022-05-02,2022-05-24
42053,28465,11,1,17995.00,17995.00,2022-04-24,2022-05-02,2022-05-05
42054,28466,18,1,24995.00,24995.00,2022-04-23,2022-05-02,2022-05-11
42055,28466,14,1,449.00,449.00,,2022-05-02,2022-05-11
42056,28467,11,1,17995.00,17995.00,2022-04-26,2022-05-02,2022-05-07
42057,28467,12,1,699.00,699.00,2022-05-02,2022-05-07
42058,28468,18,1,24995.00,24995.00,2022-04-26,2022-05-02,2022-05-07
42059,28468,17,1,495.00,495.00,2022-04-26,2022-05-02,2022-05-07
42060,28469,11,1,17995.00,17995.00,2022-04-29,2022-05-02,2022-05-11
42061,28469,16,1,79.00,79.00,,2022-05-02,2022-05-11
42062,28470,11,1,17995.00,17995.00,2022-04-26,2022-05-02,2022-05-08
42063,28470,10,1,995.00,995.00,,2022-05-02,2022-05-08
42064,28470,16,1,79.00,79.00,,2022-05-02,2022-05-08
42065,28470,15,1,995.00,995.00,,2022-05-02,2022-05-08
42066,28471,11,1,17995.00,17995.00,2022-04-29,2022-05-02,2022-05-17
42067,28471,15,1,995.00,995.00,,2022-05-02,2022-05-17
42068,28472,11,1,17995.00,17995.00,2022-05-01,2022-05-02,2022-05-16
42069,28472,13,5,4.95,24.75,2022-05-01,2022-05-02,2022-05-16
42070,28473,11,1,17995.00,17995.00,2022-04-27,2022-05-02,2022-05-12
42071,28473,12,1,699.00,699.00,2022-05-02,2022-05-12
42072,28473,14,1,449.00,449.00,,2022-05-02,2022-05-12
42073,28473,17,1,495.00,495.00,,2022-05-02,2022-05-12
42074,28474,18,1,24995.00,24995.00,2022-04-28,2022-05-02,2022-05-05
42075,28474,10,1,995.00,995.00,,2022-05-02,2022-05-05
42076,28474,15,1,995.00,995.00,,2022-05-02,2022-05-05
42077,28474,17,1,495.00,495.00,,2022-05-02,2022-05-05
42078,28474,13,4,4.95,19.80,,2022-05-02,2022-05-05
42079,28475,11,1,17995.00,17995.00,2022-04-30,2022-05-02,2022-05-14
42080,28475,10,1,995.00,995.00,,2022-05-02,2022-05-14
42081,28475,12,1,699.00,699.00,2022-05-02,2022-05-14
42082,28475,15,1,995.00,995.00,,2022-05-02,2022-05-14
42083,28475,13,4,4.95,19.80,,2022-05-02,2022-05-14
42084,28476,19,1,27995.00,27995.00,2022-05-12,2022-05-02,2022-05-23
42085,28476,12,1,699.00,699.00,2022-05-02,2022-05-23
42086,28476,14,1,449.00,449.00,,2022-05-02,2022-05-23
42087,28477,18,1,24995.00,24995.00,2022-05-01,2022-05-02,2022-05-12
42088,28477,15,1,995.00,995.00,,2022-05-02,2022-05-12
42089,28477,13,2,4.95,9.90,,2022-05-02,2022-05-12
42090,28478,18,1,24995.00,24995.00,2022-04-24,2022-05-02,2022-05-05
42091,28478,15,1,995.00,995.00,,2022-05-02,2022-05-05
42092,28478,17,1,495.00,495.00,,2022-05-02,2022-05-05
42093,28479,19,1,27995.00,27995.00,2022-05-13,2022-05-03,2022-05-16
42094,28479,14,1,449.00,449.00,,2022-05-03,2022-05-16
42095,28479,15,1,995.00,995.00,,2022-05-03,2022-05-16
42096,28479,13,4,4.95,19.80,,2022-05-03,2022-05-16
42097,28480,19,1,27995.00,27995.00,2022-05-21,2022-05-04,2022-06-01
42098,28480,10,1,995.00,995.00,,2022-05-04,2022-06-01
