orderid,custid,sellerid,odate,ototal,ordsatisfac,delsatisfac
28448,3312,12,2022-01-01,17995.00,4,5
28449,3313,1,2022-01-01,26522.95,4,5
28450,3314,11,2022-01-01,19458.80,5,5
28451,3316,15,2022-01-01,18074.00,4,5
28452,3317,8,2022-01-01,18578.90,5,5
28453,3318,11,2022-01-01,29143.00,4,5
28454,3319,9,2022-01-01,18694.00,2,5
28455,3320,6,2022-01-01,27763.00,4,4
28456,3321,9,2022-01-01,19083.85,5,1
28457,3322,6,2022-01-01,17995.00,4,4
28458,3323,3,2022-01-01,25994.95,5,3
28459,3324,12,2022-01-01,19736.80,5,5
28460,3325,6,2022-01-02,25773.00,5,5
28461,3326,8,2022-01-02,19083.85,3,5
28462,3327,7,2022-01-02,93.85,,
28463,3328,3,2022-01-02,25583.85,5,4
28464,3329,6,2022-01-02,18074.00,5,5
28465,3330,8,2022-01-02,449.00,,
28466,3331,15,2022-01-02,18602.00,5,5
28467,3332,7,2022-01-02,24995.00,5,5
28468,3333,3,2022-01-02,26934.00,4,5
28469,3334,13,2022-01-02,25014.80,5,4
28470,3335,12,2022-01-02,29083.85,5,5
28471,3336,13,2022-01-02,25014.80,4,5
28472,3337,13,2022-01-02,24995.00,5,3
28473,3338,13,2022-01-02,19069.00,3,3
28474,3339,7,2022-01-02,14.85,,
28475,3340,15,2022-01-02,18728.65,5,5
28476,3341,7,2022-01-02,27064.00,4,4
28477,3342,1,2022-01-02,27162.75,1,2
28478,3343,13,2022-01-02,30282.80,1,3
28479,3344,3,2022-01-02,26934.00,5,5
28480,3345,13,2022-01-02,19792.75,5,3
28481,3346,7,2022-01-02,19143.00,5,4
28482,3347,8,2022-01-02,26148.00,1,5
28483,3348,15,2022-01-02,17995.00,5,5
28484,3349,3,2022-01-03,19083.85,5,5
28485,3350,3,2022-01-03,20718.65,5,3
28486,3351,14,2022-01-03,27787.75,5,5
28487,3352,11,2022-01-04,18694.00,5,4
28488,3353,11,2022-01-04,19.80,,
28489,3354,11,2022-01-04,26009.80,5,5
28490,3355,11,2022-01-05,18718.75,5,2
28491,3356,14,2022-01-05,19014.75,5,5
28492,3357,11,2022-01-05,29443.95,5,2
28493,3358,6,2022-01-05,88.90,,
28494,3359,6,2022-01-05,25626.75,5,5
28495,3360,11,2022-01-05,30138.00,3,5
28496,3361,8,2022-01-06,26439.00,5,3
28497,3362,11,2022-01-06,158.00,,
28498,3363,8,2022-01-06,18569.00,4,5
28499,3365,1,2022-01-06,27995.00,5,3
28500,3366,1,2022-01-07,27995.00,5,5
28501,3367,14,2022-01-07,19246.80,2,5
28502,3368,6,2022-01-07,25990.00,2,5
28503,3369,8,2022-01-08,20009.75,5,3
28504,3370,3,2022-01-08,19.80,,
28505,3371,12,2022-01-08,29189.00,1,2
28506,3372,8,2022-01-08,19718.70,5,2
28507,3373,8,2022-01-08,26069.00,5,5
28508,3374,12,2022-01-08,26689.00,5,5
28509,3375,13,2022-01-09,25713.80,2,2
28510,3376,15,2022-01-09,27995.00,5,5
28511,3377,6,2022-01-09,25718.75,1,5
28512,3378,15,2022-01-09,18074.00,5,3
28513,3379,12,2022-01-09,19689.00,3,5
28514,3380,3,2022-01-09,29985.00,5,2
28515,3381,7,2022-01-09,25172.80,5,5
28516,3382,1,2022-01-09,25490.00,5,3
28517,3383,15,2022-01-09,18990.00,5,5
28518,3384,3,2022-01-09,28662.65,5,4
28519,3385,7,2022-01-09,26588.75,5,5
28520,3386,8,2022-01-09,27513.00,3,4
28521,3387,7,2022-01-09,17995.00,5,5
28522,3388,6,2022-01-09,29167.80,5,5
28523,3389,8,2022-01-09,30684.00,5,5
28524,3390,9,2022-01-09,26143.00,5,5
28525,3391,7,2022-01-09,25593.75,4,5
28526,3392,1,2022-01-09,19069.00,3,5
28527,3394,6,2022-01-09,18098.75,5,4
28528,3395,7,2022-01-09,26583.80,5,3
28529,3396,1,2022-01-09,26985.00,1,5
28530,3397,15,2022-01-09,18014.80,5,5
28531,3398,3,2022-01-09,27004.80,5,5
