orderid,custid,sellerid,odate,ototal,ordsatisfac,delsatisfac
28448,3312,11,2022-01-01,88.90,,
28449,3313,7,2022-01-01,25083.90,3,5
28450,3314,8,2022-01-01,26504.80,5,5
28451,3315,3,2022-01-01,19439.00,4,5
28452,3316,1,2022-01-01,17995.00,5,5
28453,3317,1,2022-01-01,14.85,,
28454,3318,6,2022-01-01,26227.00,5,4
28455,3319,1,2022-01-01,18782.90,2,5
28456,3320,11,2022-01-01,18444.00,5,5
28457,3321,13,2022-01-01,24.75,,
28458,3322,12,2022-01-01,30763.00,5,4
28459,3323,14,2022-01-01,79.00,,
28460,3324,6,2022-01-01,27703.80,5,5
28461,3325,8,2022-01-02,30064.00,5,4
28462,3326,3,2022-01-02,25444.00,5,5
28463,3327,6,2022-01-02,26448.90,5,4
28464,3328,8,2022-01-02,29143.00,5,5
28465,3329,15,2022-01-02,17995.00,2,5
28466,3330,8,2022-01-02,25444.00,5,4
28467,3331,6,2022-01-02,18694.00,5,5
28468,3332,7,2022-01-02,25490.00,5,5
28469,3333,13,2022-01-02,18074.00,5,5
28470,3334,7,2022-01-02,20064.00,5,4
28471,3335,7,2022-01-02,18990.00,5,5
28472,3336,13,2022-01-02,18019.75,5,5
28473,3337,8,2022-01-02,19638.00,4,5
28474,3338,7,2022-01-02,27499.80,5,5
28475,3339,6,2022-01-02,20703.80,5,4
28476,3340,13,2022-01-02,29143.00,5,5
28477,3342,7,2022-01-02,25999.90,5,1
28478,3343,1,2022-01-02,26485.00,3,5
28479,3345,3,2022-01-03,29458.80,2,1
28480,3346,14,2022-01-04,28990.00,2,1
28481,3347,3,2022-01-04,30241.80,5,5
28482,3348,11,2022-01-04,18708.85,5,5
28483,3349,3,2022-01-04,18083.90,5,5
28484,3350,11,2022-01-04,20685.85,5,1
28485,3351,14,2022-01-04,34.65,,
28486,3353,8,2022-01-05,19014.75,5,5
28487,3354,14,2022-01-05,18990.00,4,5
28488,3355,14,2022-01-05,25004.90,5,2
28489,3356,11,2022-01-05,28999.90,5,3
28490,3358,6,2022-01-06,18773.00,5,5
28491,3359,8,2022-01-06,26499.85,5,5
28492,3360,8,2022-01-06,19542.75,5,2
28493,3361,11,2022-01-06,29718.70,5,1
28494,3362,14,2022-01-07,25990.00,3,4
28495,3363,14,2022-01-07,26468.70,5,5
28496,3365,13,2022-01-07,28523.00,3,4
28497,3366,8,2022-01-07,18444.00,5,5
28498,3367,13,2022-01-08,18014.80,3,3
28499,3368,8,2022-01-08,26042.75,5,5
28500,3369,15,2022-01-08,79.00,,
28501,3370,15,2022-01-08,25990.00,5,5
28502,3371,8,2022-01-08,18871.80,5,5
28503,3372,7,2022-01-08,18444.00,5,5
28504,3373,12,2022-01-08,79.00,,
28505,3374,14,2022-01-08,19458.80,3,2
28506,3376,11,2022-01-08,29162.80,5,3
28507,3377,13,2022-01-08,18802.70,3,2
28508,3378,9,2022-01-08,26014.75,5,2
28509,3379,9,2022-01-08,26439.00,4,5
28510,3380,14,2022-01-08,19004.85,5,5
28511,3381,11,2022-01-08,25029.65,5,4
28512,3382,1,2022-01-08,25698.95,5,5
28513,3383,6,2022-01-08,26985.00,5,2
28514,3384,9,2022-01-08,29236.85,5,1
28515,3385,9,2022-01-08,29439.00,5,5
28516,3386,1,2022-01-08,20434.00,5,5
28517,3387,13,2022-01-08,19.80,,
28518,3388,11,2022-01-08,20236.80,5,1
28519,3389,8,2022-01-08,19703.85,5,5
28520,3390,12,2022-01-09,18990.00,4,5
28521,3391,7,2022-01-09,18939.00,4,5
28522,3392,9,2022-01-09,28773.00,5,3
28523,3394,1,2022-01-09,29009.80,5,1
28524,3395,1,2022-01-09,26499.85,5,5
28525,3396,12,2022-01-09,26689.00,5,3
28526,3397,7,2022-01-09,29231.95,5,5
28527,3398,7,2022-01-09,29985.00,5,5
28528,3399,1,2022-01-09,24.75,,
28529,3400,7,2022-01-10,26439.00,5,5
28530,3401,12,2022-01-10,25093.80,5,1
28531,3402,11,2022-01-11,19723.65,5,5
28532,3403,14,2022-01-11,19019.70,5,2
28533,3404,3,2022-01-11,27184.00,4,5
28534,3405,11,2022-01-11,19009.80,5,3
28535,3406,11,2022-01-11,19453.85,4,3
28536,3407,14,2022-01-11,26985.00,4,5
28537,3408,14,2022-01-11,19014.75,3,5
28538,3410,8,2022-01-12,18444.00,5,5
28539,3411,8,2022-01-12,19504.80,3,5
28540,3412,14,2022-01-12,18093.80,3,5
28541,3413,9,2022-01-13,28523.00,5,3
28542,3414,9,2022-01-13,28172.80,5,5
28543,3415,9,2022-01-13,28014.80,3,5
28544,3416,9,2022-01-13,18074.00,3,3
28545,3417,11,2022-01-13,28014.80,4,3
28546,3418,6,2022-01-13,25713.80,5,5
28547,3419,11,2022-01-14,25708.85,5,4
28548,3420,1,2022-01-14,25713.80,3,5
28549,3421,8,2022-01-14,26208.80,5,5
28550,3422,13,2022-01-14,18074.00,5,4
28551,3423,11,2022-01-14,28552.70,5,1
28552,3424,9,2022-01-14,17995.00,5,5
28553,3425,7,2022-01-14,25552.70,2,5
28554,3426,7,2022-01-14,18990.00,3,4
28555,3428,11,2022-01-14,25990.00,2,3
28556,3429,1,2022-01-15,29162.80,5,5
28557,3430,3,2022-01-15,27032.80,5,5
28558,3431,8,2022-01-15,18727.00,5,5
28559,3432,13,2022-01-15,25153.00,5,5
28560,3433,13,2022-01-15,4.95,,
28561,3434,3,2022-01-15,25694.00,5,5
28562,3435,1,2022-01-15,28532.90,5,5
28563,3437,11,2022-01-15,27995.00,4,1
28564,3439,1,2022-01-15,28017.90,5,5
28565,3440,14,2022-01-15,79.00,,
28566,3441,8,2022-01-15,29958.75,5,5
28567,3442,11,2022-01-15,19718.70,3,2
28568,3443,11,2022-01-15,26009.80,5,5
28569,3444,3,2022-01-15,26439.00,5,5
28570,3445,1,2022-01-15,26485.00,5,5
28571,3446,6,2022-01-15,26439.00,5,4
28572,3447,12,2022-01-15,18694.00,2,5
28573,3448,1,2022-01-15,29537.80,5,5
28574,3449,8,2022-01-15,19703.85,5,5
28575,3450,9,2022-01-15,25694.00,5,5
28576,3451,8,2022-01-16,19019.70,5,3
28577,3452,13,2022-01-16,39.60,,
28578,3453,6,2022-01-16,25527.95,5,5
28579,3456,13,2022-01-16,27995.00,5,1
28580,3457,6,2022-01-16,30438.95,5,5
28581,3458,8,2022-01-16,19014.75,5,5
28582,3459,7,2022-01-17,17995.00,2,3
28583,3460,3,2022-01-17,30013.00,5,5
28584,3461,3,2022-01-18,17995.00,5,5
28585,3462,14,2022-01-18,26069.00,5,2
28586,3463,11,2022-01-18,30782.80,5,4
28587,3464,11,2022-01-18,28093.80,2,5
28588,3465,14,2022-01-19,29014.75,5,5
28589,3466,11,2022-01-19,29301.00,5,2
28590,3467,11,2022-01-19,19.80,,
28591,3468,8,2022-01-19,28444.00,5,5
28592,3469,6,2022-01-19,18098.75,1,5
28593,3470,8,2022-01-20,30480.00,5,5
28594,3471,8,2022-01-20,19797.70,5,5
28595,3472,7,2022-01-20,27014.70,1,5
28596,3473,1,2022-01-20,18990.00,5,3
28597,3474,1,2022-01-20,17995.00,5,5
28598,3475,3,2022-01-21,28147.85,5,3
28599,3476,6,2022-01-21,19083.85,5,5
28600,3477,13,2022-01-21,28797.75,4,5
28601,3478,3,2022-01-21,25963.75,5,5
28602,3479,3,2022-01-21,26004.85,5,2
28603,3481,13,2022-01-21,27167.70,5,3
28604,3482,7,2022-01-21,25098.75,5,5
28605,3483,1,2022-01-21,18088.85,2,5
28606,3484,13,2022-01-21,17995.00,1,4
28607,3486,15,2022-01-22,29689.00,5,4
28608,3487,9,2022-01-22,28694.00,5,4
28609,3488,6,2022-01-22,17995.00,1,4
28610,3489,12,2022-01-22,30592.00,5,3
28611,3490,8,2022-01-22,28198.80,5,5
28612,3491,3,2022-01-22,27537.75,5,2
28613,3492,1,2022-01-22,25473.70,5,5
28614,3493,9,2022-01-22,18773.00,5,5
28615,3494,7,2022-01-22,790.90,,
28616,3495,3,2022-01-22,28167.85,5,5
28617,3496,1,2022-01-22,26009.80,4,5
28618,3497,15,2022-01-22,18468.75,5,5
28619,3498,7,2022-01-22,18153.00,5,3
28620,3499,1,2022-01-22,19272.95,4,5
28621,3500,1,2022-01-22,26448.90,5,5
28622,3501,9,2022-01-22,103.75,,
28623,3503,13,2022-01-22,19024.65,5,3
28624,3504,3,2022-01-22,25593.75,1,5
28625,3505,3,2022-01-23,88.90,,
28626,3506,3,2022-01-23,25024.70,5,3
28627,3507,9,2022-01-23,25024.70,5,5
28628,3508,8,2022-01-23,26805.90,5,5
28629,3509,1,2022-01-23,26189.00,3,5
28630,3511,3,2022-01-23,27157.80,5,3
28631,3512,3,2022-01-23,26439.00,5,5
28632,3513,7,2022-01-23,18523.00,5,5
28633,3514,15,2022-01-23,25074.00,5,5
28634,3515,6,2022-01-23,26985.00,5,5
28635,3516,13,2022-01-23,27995.00,2,4
28636,3517,12,2022-01-23,30217.00,1,1
28637,3518,3,2022-01-24,25948.90,5,4
28638,3519,3,2022-01-24,26564.00,5,5
28639,3520,14,2022-01-24,27138.00,4,4
28640,3521,14,2022-01-25,19148.00,3,4
28641,3522,11,2022-01-25,19098.70,5,3
28642,3523,11,2022-01-25,18468.75,5,4
28643,3524,14,2022-01-26,26994.90,2,5
28644,3525,8,2022-01-26,30138.00,5,5
28645,3526,7,2022-01-27,19564.00,3,5
28646,3528,6,2022-01-27,19926.00,4,5
28647,3529,7,2022-01-27,30434.00,1,4
28648,3530,7,2022-01-27,25490.00,5,3
28649,3531,8,2022-01-28,26152.95,3,5
28650,3532,3,2022-01-28,29088.80,5,4
28651,3533,7,2022-01-28,18009.85,3,5
28652,3534,6,2022-01-28,20167.70,4,5
28653,3535,9,2022-01-28,18458.85,5,5
28654,3536,1,2022-01-28,29019.70,5,1
28655,3537,8,2022-01-28,25990.00,5,5
28656,3538,6,2022-01-28,19708.80,4,5
28657,3539,8,2022-01-29,31786.00,5,2
28658,3540,11,2022-01-29,18708.85,5,4
28659,3541,12,2022-01-29,29485.00,3,4
28660,3542,6,2022-01-29,79.00,,
28661,3543,7,2022-01-29,18990.00,5,5
28662,3544,7,2022-01-29,19518.00,3,5
28663,3545,3,2022-01-30,27517.95,4,1
28664,3546,7,2022-01-30,27434.00,5,5
28665,3547,8,2022-01-30,29004.85,5,5
28666,3549,8,2022-01-30,29934.00,5,5
28667,3550,7,2022-01-30,88.90,,
28668,3551,15,2022-01-30,18074.00,4,2
28669,3552,7,2022-01-30,18098.75,2,4
28670,3553,1,2022-01-30,26494.90,5,4
28671,3554,7,2022-01-30,25103.70,5,5
28672,3555,12,2022-01-30,17995.00,5,5
28673,3556,13,2022-01-30,17995.00,3,5
28674,3557,6,2022-01-30,19069.00,5,5
28675,3558,8,2022-01-30,449.00,,
28676,3559,6,2022-01-30,26985.00,5,5
28677,3560,9,2022-01-31,19782.85,5,5
28678,3561,3,2022-01-31,27184.00,5,5
28679,3562,14,2022-01-31,25444.00,5,5
28680,3563,3,2022-02-01,30513.00,5,5
28681,3564,3,2022-02-01,19069.00,5,5
28682,3565,3,2022-02-01,26953.80,5,5
28683,3566,3,2022-02-01,25444.00,5,4
28684,3567,11,2022-02-02,18990.00,2,4
28685,3568,11,2022-02-02,79.00,,
28686,3569,11,2022-02-02,30434.00,4,5
28687,3570,9,2022-02-03,17995.00,3,5
28688,3571,8,2022-02-03,25852.00,5,5
28689,3572,7,2022-02-03,26593.70,5,5
28690,3574,1,2022-02-04,28990.00,5,5
28691,3575,3,2022-02-04,20480.00,2,4
28692,3576,6,2022-02-04,19014.75,5,5
28693,3577,1,2022-02-05,25074.00,5,5
28694,3578,12,2022-02-05,26004.85,5,5
28695,3579,7,2022-02-05,25444.00,4,5
28696,3580,13,2022-02-05,19251.75,4,5
28697,3582,1,2022-02-05,18672.75,2,5
28698,3583,6,2022-02-05,26157.85,5,2
28699,3584,7,2022-02-06,39.60,,
28700,3585,15,2022-02-06,30217.00,5,5
28701,3587,12,2022-02-06,17995.00,5,5
28702,3588,7,2022-02-06,18074.00,5,5
28703,3589,1,2022-02-06,19203.85,4,5
28704,3590,12,2022-02-06,26504.80,5,5
28705,3591,9,2022-02-06,29703.85,5,5
28706,3592,3,2022-02-06,21628.00,5,4
28707,3593,3,2022-02-06,29532.85,5,1
28708,3594,6,2022-02-06,25157.95,5,5
28709,3595,7,2022-02-06,30217.00,5,4
28710,3596,7,2022-02-06,26227.00,4,3
28711,3597,7,2022-02-06,27064.00,5,4
28712,3598,13,2022-02-06,98.80,,
28713,3599,3,2022-02-06,19.80,,
28714,3600,7,2022-02-06,18004.90,2,5
28715,3601,15,2022-02-06,25074.00,5,5
28716,3602,1,2022-02-06,9.90,,
28717,3603,13,2022-02-06,25782.90,5,4
28718,3605,3,2022-02-07,4.95,,
28719,3606,3,2022-02-07,18728.65,5,3
28720,3607,14,2022-02-07,19547.70,5,2
28721,3608,7,2022-02-07,19518.00,5,5
28722,3609,14,2022-02-07,18074.00,5,5
28723,3610,14,2022-02-08,19009.80,5,5
28724,3611,3,2022-02-08,79.00,,
28725,3612,14,2022-02-08,27083.80,5,5
28726,3613,11,2022-02-08,18999.90,2,5
28727,3614,8,2022-02-09,25593.75,5,5
28728,3615,11,2022-02-09,18444.00,5,5
28729,3616,11,2022-02-09,17995.00,5,5
28730,3617,11,2022-02-09,29768.00,5,5
28731,3618,8,2022-02-09,30184.00,5,3
28732,3619,8,2022-02-10,19189.00,5,5
28733,3620,6,2022-02-10,18004.90,5,5
28734,3621,8,2022-02-10,24995.00,3,5
28735,3622,1,2022-02-10,25490.00,5,5
28736,3623,9,2022-02-10,18990.00,5,5
28737,3624,6,2022-02-10,26689.00,5,1
28738,3626,11,2022-02-11,26439.00,5,3
28739,3627,8,2022-02-11,29768.00,5,5
28740,3628,3,2022-02-11,29453.85,5,3
28741,3629,14,2022-02-11,19014.75,3,5
28742,3630,8,2022-02-11,19.80,,
28743,3631,3,2022-02-11,30032.80,5,5
28744,3632,8,2022-02-11,19019.70,5,5
28745,3633,6,2022-02-11,19148.00,5,5
28746,3634,11,2022-02-11,19236.85,4,5
28747,3635,1,2022-02-11,26985.00,5,2
28748,3636,8,2022-02-12,28523.00,5,5
28749,3637,13,2022-02-12,28093.80,5,5
28750,3638,1,2022-02-12,30263.00,5,3
28751,3640,8,2022-02-12,25074.00,5,5
28752,3641,14,2022-02-12,19014.75,4,5
28753,3642,7,2022-02-12,18990.00,1,1
28754,3643,12,2022-02-12,29024.65,5,5
28755,3644,12,2022-02-12,26689.00,5,4
28756,3645,12,2022-02-12,20527.85,5,5
28757,3646,7,2022-02-12,27573.85,5,5
28758,3647,1,2022-02-12,18583.85,5,5
28759,3648,13,2022-02-12,29693.95,5,1
28760,3649,9,2022-02-12,28009.85,5,5
28761,3651,14,2022-02-12,26443.95,4,5
28762,3652,7,2022-02-12,17995.00,3,5
28763,3653,15,2022-02-12,28074.00,5,3
28764,3654,8,2022-02-12,26489.95,5,5
28765,3655,7,2022-02-12,18703.90,1,5
28766,3656,8,2022-02-13,25014.80,5,2
28767,3657,3,2022-02-13,18153.00,5,3
28768,3658,8,2022-02-13,19004.85,2,5
28769,3659,8,2022-02-13,29768.00,5,5
28770,3660,7,2022-02-13,18990.00,2,5
28771,3661,6,2022-02-13,19069.00,5,5
28772,3662,8,2022-02-13,19453.85,2,5
28773,3663,3,2022-02-13,26518.00,5,1
28774,3664,8,2022-02-13,19069.00,5,5
28775,3665,8,2022-02-13,4.95,,
28776,3666,7,2022-02-13,25074.00,5,5
28777,3667,6,2022-02-13,27463.70,5,4
28778,3668,7,2022-02-13,28212.00,5,5
28779,3669,1,2022-02-13,25990.00,4,5
28780,3670,1,2022-02-13,25444.00,3,5
28781,3671,15,2022-02-13,18019.75,2,4
28782,3672,6,2022-02-13,29439.00,5,5
28783,3673,1,2022-02-13,19485.00,4,5
28784,3674,3,2022-02-14,18088.85,5,5
28785,3675,7,2022-02-14,29.70,,
28786,3676,15,2022-02-14,25074.00,5,2
28787,3677,7,2022-02-14,29439.00,1,5
28788,3678,3,2022-02-14,30277.85,4,5
28789,3679,14,2022-02-15,29014.75,3,4
28790,3680,3,2022-02-15,79.00,,
28791,3682,14,2022-02-16,18024.70,1,5
28792,3683,11,2022-02-16,19443.95,5,5
28793,3684,8,2022-02-16,28569.00,5,4
28794,3685,8,2022-02-16,27448.85,5,5
28795,3686,6,2022-02-17,28694.00,5,3
28796,3688,8,2022-02-17,26485.00,3,5
28797,3689,7,2022-02-17,26463.75,5,5
28798,3690,7,2022-02-18,24995.00,3,5
28799,3691,14,2022-02-18,27064.00,5,5
28800,3692,14,2022-02-18,17995.00,4,4
28801,3693,1,2022-02-18,29439.00,4,5
28802,3694,8,2022-02-18,18990.00,3,3
28803,3695,7,2022-02-18,18727.00,5,5
28804,3696,1,2022-02-18,19014.75,5,3
28805,3697,8,2022-02-18,26439.00,5,5
28806,3699,7,2022-02-18,18463.80,5,5
28807,3700,7,2022-02-19,27217.00,1,5
28808,3701,11,2022-02-19,29792.75,5,3
28809,3702,3,2022-02-19,25723.70,5,5
28810,3703,3,2022-02-19,28552.70,5,3
28811,3704,11,2022-02-19,28797.75,5,3
28812,3705,3,2022-02-19,30453.80,5,4
28813,3707,15,2022-02-20,19004.85,3,5
28814,3708,1,2022-02-20,26268.00,5,5
28815,3709,7,2022-02-20,19485.00,5,5
28816,3710,15,2022-02-20,28083.90,5,5
28817,3711,12,2022-02-20,26004.85,5,5
28818,3712,3,2022-02-20,21027.80,4,5
28819,3713,9,2022-02-20,29522.95,5,1
28820,3714,8,2022-02-20,29004.85,5,4
28821,3715,8,2022-02-20,24999.95,5,5
28822,3716,7,2022-02-20,19.80,,
28823,3717,7,2022-02-20,27652.80,5,5
28824,3718,7,2022-02-20,20013.00,3,4
28825,3719,6,2022-02-20,19787.80,5,3
28826,3720,1,2022-02-20,19004.85,5,3
28827,3721,14,2022-02-21,18088.85,5,5
28828,3722,14,2022-02-21,30861.80,5,4
28829,3723,11,2022-02-22,18990.00,5,4
28830,3724,11,2022-02-22,18468.75,5,4
28831,3725,11,2022-02-22,24995.00,5,5
28832,3726,3,2022-02-22,18009.85,5,5
28833,3727,11,2022-02-22,26676.00,5,5
28834,3728,11,2022-02-22,25718.75,5,5
28835,3729,6,2022-02-23,19693.95,3,5
28836,3730,8,2022-02-23,25990.00,5,5
28837,3731,14,2022-02-23,19014.75,3,5
28838,3732,8,2022-02-24,26069.00,5,5
28839,3733,8,2022-02-24,528.00,,
28840,3734,8,2022-02-24,20263.00,5,5
28841,3735,9,2022-02-24,18694.00,5,1
28842,3736,11,2022-02-24,28019.75,5,5
28843,3737,1,2022-02-25,26009.80,5,1
28844,3738,6,2022-02-25,26147.95,4,1
28845,3739,11,2022-02-25,29172.70,3,3
28846,3740,6,2022-02-25,29088.80,5,5
28847,3741,14,2022-02-25,27217.00,5,5
28848,3742,9,2022-02-25,25542.80,5,5
28849,3743,1,2022-02-25,30578.80,5,5
28850,3744,14,2022-02-25,28990.00,2,4
28851,3745,12,2022-02-26,30573.85,5,5
28852,3746,14,2022-02-26,25994.95,5,2
28853,3747,3,2022-02-26,19943.90,5,5
28854,3748,9,2022-02-26,17995.00,3,5
28855,3749,12,2022-02-26,19782.85,3,5
28856,3750,6,2022-02-26,25990.00,5,5
28857,3751,9,2022-02-26,29222.00,5,3
28858,3752,8,2022-02-26,34.65,,
28859,3753,12,2022-02-26,29934.00,5,5
28860,3754,6,2022-02-26,26069.00,5,1
28861,3755,7,2022-02-27,20013.00,2,5
28862,3756,15,2022-02-27,28990.00,5,5
28863,3757,13,2022-02-27,18074.00,2,5
28864,3758,7,2022-02-27,24.75,,
28865,3759,13,2022-02-27,29241.80,5,4
28866,3760,7,2022-02-27,174.00,,
28867,3761,13,2022-02-27,18074.00,5,5
28868,3762,12,2022-02-27,25990.00,5,2
28869,3763,8,2022-02-27,26208.80,5,5
28870,3764,7,2022-02-27,25746.80,5,5
28871,3765,6,2022-02-27,26708.80,5,5
28872,3766,13,2022-02-27,29143.00,5,3
28873,3767,15,2022-02-28,14.85,,
28874,3769,15,2022-02-28,18694.00,2,1
28875,3770,14,2022-02-28,27078.85,5,5
28876,3771,3,2022-03-01,20458.75,5,5
28877,3772,3,2022-03-01,24995.00,5,5
28878,3773,3,2022-03-01,18631.70,5,5
28879,3774,14,2022-03-01,19241.80,4,3
28880,3775,14,2022-03-01,26768.00,2,2
28881,3776,6,2022-03-02,25773.00,5,5
28882,3777,11,2022-03-02,19439.00,5,5
28883,3778,9,2022-03-03,17995.00,3,5
28884,3779,9,2022-03-03,30138.00,5,3
28885,3780,1,2022-03-03,28014.80,5,5
28886,3781,13,2022-03-04,28537.85,5,5
28887,3782,9,2022-03-04,18261.70,5,5
28888,3784,11,2022-03-04,27995.00,5,3
28889,3785,13,2022-03-04,34.65,,
28890,3786,13,2022-03-04,25994.95,5,4
28891,3787,6,2022-03-04,25074.00,5,4
28892,3788,14,2022-03-04,29693.95,1,3
28893,3789,14,2022-03-04,26004.85,1,3
28894,3790,9,2022-03-04,26463.75,4,5
28895,3791,1,2022-03-04,83.95,,
28896,3792,1,2022-03-04,25444.00,5,5
28897,3793,13,2022-03-05,25444.00,5,2
28898,3794,12,2022-03-05,26504.80,5,3
28899,3795,7,2022-03-05,19494.90,4,5
28900,3796,15,2022-03-05,17995.00,1,5
28901,3797,12,2022-03-05,29027.90,5,4
28902,3798,8,2022-03-05,158.00,,
28903,3799,11,2022-03-05,30157.80,5,5
28904,3800,1,2022-03-05,26797.70,5,5
28905,3801,3,2022-03-05,26448.90,5,5
28906,3802,6,2022-03-05,18074.00,3,5
28907,3803,13,2022-03-05,25990.00,5,5
28908,3804,14,2022-03-05,27143.00,5,2
28909,3805,8,2022-03-05,28310.80,5,5
28910,3806,6,2022-03-05,18773.00,5,2
28911,3808,12,2022-03-06,26069.00,5,5
28912,3809,8,2022-03-06,30282.80,5,2
28913,3810,15,2022-03-06,24995.00,4,2
28914,3811,1,2022-03-06,18990.00,5,5
28915,3812,7,2022-03-06,18569.00,4,5
28916,3813,7,2022-03-06,18990.00,4,3
28917,3814,3,2022-03-06,26439.00,4,3
28918,3815,3,2022-03-06,26509.75,5,5
28919,3816,7,2022-03-06,26268.00,5,5
28920,3817,7,2022-03-06,27573.85,5,5
28921,3818,6,2022-03-06,18990.00,1,5
28922,3819,6,2022-03-06,26693.95,4,3
28923,3820,7,2022-03-06,28008.00,5,5
28924,3821,7,2022-03-06,20184.00,3,4
28925,3822,9,2022-03-06,30241.75,3,3
28926,3823,1,2022-03-06,28232.00,5,5
28927,3824,7,2022-03-06,27184.00,4,5
28928,3825,3,2022-03-06,26537.80,5,5
28929,3826,7,2022-03-06,18490.00,5,5
28930,3827,9,2022-03-06,25694.00,3,5
28931,3828,15,2022-03-06,18694.00,4,5
28932,3829,14,2022-03-07,26083.85,2,5
28933,3830,3,2022-03-07,18153.00,3,5
28934,3832,9,2022-03-07,29222.00,5,4
28935,3833,3,2022-03-07,20217.00,3,5
28936,3834,12,2022-03-07,25074.00,5,5
28937,3835,11,2022-03-08,25694.00,5,4
28938,3836,11,2022-03-08,30296.00,5,5
28939,3837,14,2022-03-08,31231.80,5,4
28940,3838,8,2022-03-09,18593.75,5,5
28941,3839,11,2022-03-09,34.65,,
28942,3840,11,2022-03-09,18444.00,2,5
28943,3842,8,2022-03-09,20162.75,4,5
28944,3843,6,2022-03-10,18074.00,4,5
28945,3844,1,2022-03-10,25569.00,5,5
28946,3845,7,2022-03-10,19009.80,4,5
28947,3846,9,2022-03-10,25074.00,5,4
28948,3847,14,2022-03-11,19014.75,4,5
28949,3848,13,2022-03-11,29143.00,5,1
28950,3849,8,2022-03-11,26458.80,5,5
28951,3850,13,2022-03-11,18074.00,4,5
28952,3851,11,2022-03-11,28990.00,5,2
28953,3852,9,2022-03-11,28990.00,5,5
28954,3853,8,2022-03-11,27064.00,5,4
28955,3854,6,2022-03-11,29458.80,5,1
28956,3855,13,2022-03-11,26143.00,1,2
28957,3856,6,2022-03-11,26439.00,5,5
28958,3857,1,2022-03-11,25490.00,5,5
28959,3858,7,2022-03-11,18019.75,5,5
28960,3859,8,2022-03-11,18694.00,5,5
28961,3860,7,2022-03-12,20504.75,5,5
28962,3861,1,2022-03-12,28542.80,4,4
28963,3862,12,2022-03-12,26485.00,5,5
28964,3863,6,2022-03-12,25994.95,5,4
28965,3864,7,2022-03-12,26103.65,2,2
28966,3865,6,2022-03-12,28142.90,5,4
28967,3866,15,2022-03-12,88.90,,
28968,3867,7,2022-03-12,88.90,,
28969,3868,1,2022-03-12,18569.00,3,5
28970,3869,3,2022-03-12,18463.80,5,5
28971,3870,7,2022-03-12,18990.00,4,2
28972,3871,8,2022-03-12,26689.00,5,5
28973,3872,7,2022-03-13,4.95,,
28974,3873,12,2022-03-13,113.65,,
28975,3874,7,2022-03-13,25083.90,5,5
28976,3875,3,2022-03-13,25093.80,5,5
28977,3876,3,2022-03-13,19963.70,2,5
28978,3877,8,2022-03-13,28267.90,5,5
28979,3879,8,2022-03-13,27203.80,4,5
28980,3880,6,2022-03-13,28074.00,5,2
28981,3881,3,2022-03-13,26453.85,5,5
28982,3882,6,2022-03-13,18718.75,4,4
28983,3883,13,2022-03-13,19069.00,5,1
28984,3884,13,2022-03-13,18088.85,5,5
28985,3885,6,2022-03-13,29098.70,5,5
28986,3886,3,2022-03-14,30287.75,3,1
28987,3887,12,2022-03-14,19004.85,3,5
28988,3888,9,2022-03-14,31133.00,5,5
28989,3889,14,2022-03-14,27088.75,2,5
28990,3890,3,2022-03-14,30287.75,5,3
28991,3891,14,2022-03-15,19014.75,3,4
28992,3892,11,2022-03-15,25108.65,5,4
