"","SUMLEV","REGION","DIVISION","STATE","COUNTY","STNAME","CTYNAME","POPESTIMATE2019","FIPS"
"1",40,"3","6",1,0,"Alabama","Alabama",4903185,"01000"
"2",50,"3","6",1,1,"Alabama","Autauga County",55869,"01001"
"3",50,"3","6",1,3,"Alabama","Baldwin County",223234,"01003"
"4",50,"3","6",1,5,"Alabama","Barbour County",24686,"01005"
"5",50,"3","6",1,7,"Alabama","Bibb County",22394,"01007"
"6",50,"3","6",1,9,"Alabama","Blount County",57826,"01009"
"7",50,"3","6",1,11,"Alabama","Bullock County",10101,"01011"
"8",50,"3","6",1,13,"Alabama","Butler County",19448,"01013"
"9",50,"3","6",1,15,"Alabama","Calhoun County",113605,"01015"
"10",50,"3","6",1,17,"Alabama","Chambers County",33254,"01017"
"11",50,"3","6",1,19,"Alabama","Cherokee County",26196,"01019"
"12",50,"3","6",1,21,"Alabama","Chilton County",44428,"01021"
"13",50,"3","6",1,23,"Alabama","Choctaw County",12589,"01023"
"14",50,"3","6",1,25,"Alabama","Clarke County",23622,"01025"
"15",50,"3","6",1,27,"Alabama","Clay County",13235,"01027"
"16",50,"3","6",1,29,"Alabama","Cleburne County",14910,"01029"
"17",50,"3","6",1,31,"Alabama","Coffee County",52342,"01031"
"18",50,"3","6",1,33,"Alabama","Colbert County",55241,"01033"
"19",50,"3","6",1,35,"Alabama","Conecuh County",12067,"01035"
"20",50,"3","6",1,37,"Alabama","Coosa County",10663,"01037"
"21",50,"3","6",1,39,"Alabama","Covington County",37049,"01039"
"22",50,"3","6",1,41,"Alabama","Crenshaw County",13772,"01041"
"23",50,"3","6",1,43,"Alabama","Cullman County",83768,"01043"
"24",50,"3","6",1,45,"Alabama","Dale County",49172,"01045"
"25",50,"3","6",1,47,"Alabama","Dallas County",37196,"01047"
"26",50,"3","6",1,49,"Alabama","DeKalb County",71513,"01049"
"27",50,"3","6",1,51,"Alabama","Elmore County",81209,"01051"
"28",50,"3","6",1,53,"Alabama","Escambia County",36633,"01053"
"29",50,"3","6",1,55,"Alabama","Etowah County",102268,"01055"
"30",50,"3","6",1,57,"Alabama","Fayette County",16302,"01057"
"31",50,"3","6",1,59,"Alabama","Franklin County",31362,"01059"
"32",50,"3","6",1,61,"Alabama","Geneva County",26271,"01061"
"33",50,"3","6",1,63,"Alabama","Greene County",8111,"01063"
"34",50,"3","6",1,65,"Alabama","Hale County",14651,"01065"
"35",50,"3","6",1,67,"Alabama","Henry County",17205,"01067"
"36",50,"3","6",1,69,"Alabama","Houston County",105882,"01069"
"37",50,"3","6",1,71,"Alabama","Jackson County",51626,"01071"
"38",50,"3","6",1,73,"Alabama","Jefferson County",658573,"01073"
"39",50,"3","6",1,75,"Alabama","Lamar County",13805,"01075"
"40",50,"3","6",1,77,"Alabama","Lauderdale County",92729,"01077"
"41",50,"3","6",1,79,"Alabama","Lawrence County",32924,"01079"
"42",50,"3","6",1,81,"Alabama","Lee County",164542,"01081"
"43",50,"3","6",1,83,"Alabama","Limestone County",98915,"01083"
"44",50,"3","6",1,85,"Alabama","Lowndes County",9726,"01085"
"45",50,"3","6",1,87,"Alabama","Macon County",18068,"01087"
"46",50,"3","6",1,89,"Alabama","Madison County",372909,"01089"
"47",50,"3","6",1,91,"Alabama","Marengo County",18863,"01091"
"48",50,"3","6",1,93,"Alabama","Marion County",29709,"01093"
"49",50,"3","6",1,95,"Alabama","Marshall County",96774,"01095"
"50",50,"3","6",1,97,"Alabama","Mobile County",413210,"01097"
"51",50,"3","6",1,99,"Alabama","Monroe County",20733,"01099"
"52",50,"3","6",1,101,"Alabama","Montgomery County",226486,"01101"
"53",50,"3","6",1,103,"Alabama","Morgan County",119679,"01103"
"54",50,"3","6",1,105,"Alabama","Perry County",8923,"01105"
"55",50,"3","6",1,107,"Alabama","Pickens County",19930,"01107"
"56",50,"3","6",1,109,"Alabama","Pike County",33114,"01109"
"57",50,"3","6",1,111,"Alabama","Randolph County",22722,"01111"
"58",50,"3","6",1,113,"Alabama","Russell County",57961,"01113"
"59",50,"3","6",1,115,"Alabama","St. Clair County",89512,"01115"
"60",50,"3","6",1,117,"Alabama","Shelby County",217702,"01117"
"61",50,"3","6",1,119,"Alabama","Sumter County",12427,"01119"
"62",50,"3","6",1,121,"Alabama","Talladega County",79978,"01121"
"63",50,"3","6",1,123,"Alabama","Tallapoosa County",40367,"01123"
"64",50,"3","6",1,125,"Alabama","Tuscaloosa County",209355,"01125"
"65",50,"3","6",1,127,"Alabama","Walker County",63521,"01127"
"66",50,"3","6",1,129,"Alabama","Washington County",16326,"01129"
"67",50,"3","6",1,131,"Alabama","Wilcox County",10373,"01131"
"68",50,"3","6",1,133,"Alabama","Winston County",23629,"01133"
"69",40,"4","9",2,0,"Alaska","Alaska",731545,"02000"
"70",50,"4","9",2,13,"Alaska","Aleutians East Borough",3337,"02013"
"71",50,"4","9",2,16,"Alaska","Aleutians West Census Area",5634,"02016"
"72",50,"4","9",2,20,"Alaska","Anchorage Municipality",288000,"02020"
"73",50,"4","9",2,50,"Alaska","Bethel Census Area",18386,"02050"
"74",50,"4","9",2,60,"Alaska","Bristol Bay Borough",836,"02060"
"75",50,"4","9",2,68,"Alaska","Denali Borough",2097,"02068"
"76",50,"4","9",2,70,"Alaska","Dillingham Census Area",4916,"02070"
"77",50,"4","9",2,90,"Alaska","Fairbanks North Star Borough",96849,"02090"
"78",50,"4","9",2,100,"Alaska","Haines Borough",2530,"02100"
"79",50,"4","9",2,105,"Alaska","Hoonah-Angoon Census Area",2148,"02105"
"80",50,"4","9",2,110,"Alaska","Juneau City and Borough",31974,"02110"
"81",50,"4","9",2,122,"Alaska","Kenai Peninsula Borough",58708,"02122"
"82",50,"4","9",2,130,"Alaska","Ketchikan Gateway Borough",13901,"02130"
"83",50,"4","9",2,150,"Alaska","Kodiak Island Borough",12998,"02150"
"84",50,"4","9",2,158,"Alaska","Kusilvak Census Area",8314,"02158"
"85",50,"4","9",2,164,"Alaska","Lake and Peninsula Borough",1592,"02164"
"86",50,"4","9",2,170,"Alaska","Matanuska-Susitna Borough",108317,"02170"
"87",50,"4","9",2,180,"Alaska","Nome Census Area",10004,"02180"
"88",50,"4","9",2,185,"Alaska","North Slope Borough",9832,"02185"
"89",50,"4","9",2,188,"Alaska","Northwest Arctic Borough",7621,"02188"
"90",50,"4","9",2,195,"Alaska","Petersburg Borough",3266,"02195"
"91",50,"4","9",2,198,"Alaska","Prince of Wales-Hyder Census Area",6203,"02198"
"92",50,"4","9",2,220,"Alaska","Sitka City and Borough",8493,"02220"
"93",50,"4","9",2,230,"Alaska","Skagway Municipality",1183,"02230"
"94",50,"4","9",2,240,"Alaska","Southeast Fairbanks Census Area",6893,"02240"
"95",50,"4","9",2,261,"Alaska","Valdez-Cordova Census Area",9202,"02261"
"96",50,"4","9",2,275,"Alaska","Wrangell City and Borough",2502,"02275"
"97",50,"4","9",2,282,"Alaska","Yakutat City and Borough",579,"02282"
"98",50,"4","9",2,290,"Alaska","Yukon-Koyukuk Census Area",5230,"02290"
"99",40,"4","8",4,0,"Arizona","Arizona",7278717,"04000"
"100",50,"4","8",4,1,"Arizona","Apache County",71887,"04001"
"101",50,"4","8",4,3,"Arizona","Cochise County",125922,"04003"
"102",50,"4","8",4,5,"Arizona","Coconino County",143476,"04005"
"103",50,"4","8",4,7,"Arizona","Gila County",54018,"04007"
"104",50,"4","8",4,9,"Arizona","Graham County",38837,"04009"
"105",50,"4","8",4,11,"Arizona","Greenlee County",9498,"04011"
"106",50,"4","8",4,12,"Arizona","La Paz County",21108,"04012"
"107",50,"4","8",4,13,"Arizona","Maricopa County",4485414,"04013"
"108",50,"4","8",4,15,"Arizona","Mohave County",212181,"04015"
"109",50,"4","8",4,17,"Arizona","Navajo County",110924,"04017"
"110",50,"4","8",4,19,"Arizona","Pima County",1047279,"04019"
"111",50,"4","8",4,21,"Arizona","Pinal County",462789,"04021"
"112",50,"4","8",4,23,"Arizona","Santa Cruz County",46498,"04023"
"113",50,"4","8",4,25,"Arizona","Yavapai County",235099,"04025"
"114",50,"4","8",4,27,"Arizona","Yuma County",213787,"04027"
"115",40,"3","7",5,0,"Arkansas","Arkansas",3017804,"05000"
"116",50,"3","7",5,1,"Arkansas","Arkansas County",17486,"05001"
"117",50,"3","7",5,3,"Arkansas","Ashley County",19657,"05003"
"118",50,"3","7",5,5,"Arkansas","Baxter County",41932,"05005"
"119",50,"3","7",5,7,"Arkansas","Benton County",279141,"05007"
"120",50,"3","7",5,9,"Arkansas","Boone County",37432,"05009"
"121",50,"3","7",5,11,"Arkansas","Bradley County",10763,"05011"
"122",50,"3","7",5,13,"Arkansas","Calhoun County",5189,"05013"
"123",50,"3","7",5,15,"Arkansas","Carroll County",28380,"05015"
"124",50,"3","7",5,17,"Arkansas","Chicot County",10118,"05017"
"125",50,"3","7",5,19,"Arkansas","Clark County",22320,"05019"
"126",50,"3","7",5,21,"Arkansas","Clay County",14551,"05021"
"127",50,"3","7",5,23,"Arkansas","Cleburne County",24919,"05023"
"128",50,"3","7",5,25,"Arkansas","Cleveland County",7956,"05025"
"129",50,"3","7",5,27,"Arkansas","Columbia County",23457,"05027"
"130",50,"3","7",5,29,"Arkansas","Conway County",20846,"05029"
"131",50,"3","7",5,31,"Arkansas","Craighead County",110332,"05031"
"132",50,"3","7",5,33,"Arkansas","Crawford County",63257,"05033"
"133",50,"3","7",5,35,"Arkansas","Crittenden County",47955,"05035"
"134",50,"3","7",5,37,"Arkansas","Cross County",16419,"05037"
"135",50,"3","7",5,39,"Arkansas","Dallas County",7009,"05039"
"136",50,"3","7",5,41,"Arkansas","Desha County",11361,"05041"
"137",50,"3","7",5,43,"Arkansas","Drew County",18219,"05043"
"138",50,"3","7",5,45,"Arkansas","Faulkner County",126007,"05045"
"139",50,"3","7",5,47,"Arkansas","Franklin County",17715,"05047"
"140",50,"3","7",5,49,"Arkansas","Fulton County",12477,"05049"
"141",50,"3","7",5,51,"Arkansas","Garland County",99386,"05051"
"142",50,"3","7",5,53,"Arkansas","Grant County",18265,"05053"
"143",50,"3","7",5,55,"Arkansas","Greene County",45325,"05055"
"144",50,"3","7",5,57,"Arkansas","Hempstead County",21532,"05057"
"145",50,"3","7",5,59,"Arkansas","Hot Spring County",33771,"05059"
"146",50,"3","7",5,61,"Arkansas","Howard County",13202,"05061"
"147",50,"3","7",5,63,"Arkansas","Independence County",37825,"05063"
"148",50,"3","7",5,65,"Arkansas","Izard County",13629,"05065"
"149",50,"3","7",5,67,"Arkansas","Jackson County",16719,"05067"
"150",50,"3","7",5,69,"Arkansas","Jefferson County",66824,"05069"
"151",50,"3","7",5,71,"Arkansas","Johnson County",26578,"05071"
"152",50,"3","7",5,73,"Arkansas","Lafayette County",6624,"05073"
"153",50,"3","7",5,75,"Arkansas","Lawrence County",16406,"05075"
"154",50,"3","7",5,77,"Arkansas","Lee County",8857,"05077"
"155",50,"3","7",5,79,"Arkansas","Lincoln County",13024,"05079"
"156",50,"3","7",5,81,"Arkansas","Little River County",12259,"05081"
"157",50,"3","7",5,83,"Arkansas","Logan County",21466,"05083"
"158",50,"3","7",5,85,"Arkansas","Lonoke County",73309,"05085"
"159",50,"3","7",5,87,"Arkansas","Madison County",16576,"05087"
"160",50,"3","7",5,89,"Arkansas","Marion County",16694,"05089"
"161",50,"3","7",5,91,"Arkansas","Miller County",43257,"05091"
"162",50,"3","7",5,93,"Arkansas","Mississippi County",40651,"05093"
"163",50,"3","7",5,95,"Arkansas","Monroe County",6701,"05095"
"164",50,"3","7",5,97,"Arkansas","Montgomery County",8986,"05097"
