"survey_id","reach","site_code","survey_date","time_start","time_end","observer","code","common_name","distance","bird_count","observation_notes","seen","heard","direction","qccomment"
"6072","Ave35","Ave35_up_B2",2014-01-18,"08:26:00","08:41:00","MeBa","BLPH","Black Phoebe","40+",2,NA,"TRUE","TRUE","W",NA
"6072","Ave35","Ave35_up_B2",2014-01-18,"08:26:00","08:41:00","MeBa","GTGR","Great-tailed Grackle","FT",1,"Far","TRUE","FALSE","S",NA
"6072","Ave35","Ave35_up_B2",2014-01-18,"08:26:00","08:41:00","MeBa","GTGR","Great-tailed Grackle","FT",2,NA,"TRUE","FALSE","NW",NA
"6072","Ave35","Ave35_up_B2",2014-01-18,"08:26:00","08:41:00","MeBa","GTGR","Great-tailed Grackle","40+",2,NA,"TRUE","FALSE","NW",NA
"6072","Ave35","Ave35_up_B2",2014-01-18,"08:26:00","08:41:00","MeBa","HOFI","House Finch","20-40",1,NA,"TRUE","TRUE","SW",NA
"6072","Ave35","Ave35_up_B2",2014-01-18,"08:26:00","08:41:00","MeBa","UNFA","Unidentified Falcon","FT",1,NA,"TRUE","FALSE","S",NA
"6072","Ave35","Ave35_up_B2",2014-01-18,"08:26:00","08:41:00","MeBa","ROPI","Rock Pigeon","FT",2,NA,"TRUE","FALSE","W",NA
"6072","Ave35","Ave35_up_B2",2014-01-18,"08:26:00","08:41:00","MeBa","MODO","Mourning Dove","FT",7,NA,"TRUE","FALSE","N",NA
"6073","Ave35","Ave35_mid_B2",2014-01-18,"09:08:00","09:23:00","MeBa","BLPH","Black Phoebe","40+",1,NA,"FALSE","TRUE","NW",NA
"6073","Ave35","Ave35_mid_B2",2014-01-18,"09:08:00","09:23:00","MeBa","YRWA","Yellow-rumped Warbler","40+",1,NA,"FALSE","TRUE","NW",NA
"6073","Ave35","Ave35_mid_B2",2014-01-18,"09:08:00","09:23:00","MeBa","HOFI","House Finch","40+",1,"Where HOFI were during previous count (UP B2)","TRUE","TRUE","W",NA
"6073","Ave35","Ave35_mid_B2",2014-01-18,"09:08:00","09:23:00","MeBa","ABTO","Abert's Towhee","40+",2,NA,"TRUE","FALSE","W",NA
"6073","Ave35","Ave35_mid_B2",2014-01-18,"09:08:00","09:23:00","MeBa","BLPH","Black Phoebe","20-40",1,"Under bridge","TRUE","TRUE","W",NA
"6073","Ave35","Ave35_mid_B2",2014-01-18,"09:08:00","09:23:00","MeBa","KILL","Killdeer","40+",1,NA,"FALSE","TRUE","NE",NA
"6073","Ave35","Ave35_mid_B2",2014-01-18,"09:08:00","09:23:00","MeBa","HOFI","House Finch","40+",3,NA,"TRUE","FALSE","S",NA
"6073","Ave35","Ave35_mid_B2",2014-01-18,"09:08:00","09:23:00","MeBa","ROPI","Rock Pigeon","40+",2,"Far","TRUE","FALSE","S",NA
"6073","Ave35","Ave35_mid_B2",2014-01-18,"09:08:00","09:23:00","MeBa","ROPI","Rock Pigeon","40+",2,NA,"TRUE","FALSE","N",NA
"6073","Ave35","Ave35_mid_B2",2014-01-18,"09:08:00","09:23:00","MeBa","HOFI","House Finch","FT",1,NA,"FALSE","TRUE","E",NA
"6073","Ave35","Ave35_mid_B2",2014-01-18,"09:08:00","09:23:00","MeBa","ROPI","Rock Pigeon","40+",1,NA,"TRUE","FALSE","SW",NA
"6074","Ave35","Ave35_dwn_B2",2014-01-18,"09:45:00","10:00:00","MeBa","YRWA","Yellow-rumped Warbler","40+",4,"Most likely more (in grove)","FALSE","TRUE","N",NA
"6074","Ave35","Ave35_dwn_B2",2014-01-18,"09:45:00","10:00:00","MeBa","YRWA","Yellow-rumped Warbler","FT",1,NA,"TRUE","TRUE","E",NA
"6074","Ave35","Ave35_dwn_B2",2014-01-18,"09:45:00","10:00:00","MeBa","BLPH","Black Phoebe","40+",1,NA,"TRUE","FALSE","NE",NA
"6074","Ave35","Ave35_dwn_B2",2014-01-18,"09:45:00","10:00:00","MeBa","ABTO","Abert's Towhee","40+",1,NA,"FALSE","TRUE","NE",NA
"6074","Ave35","Ave35_dwn_B2",2014-01-18,"09:45:00","10:00:00","MeBa","HOFI","House Finch","40+",1,NA,"TRUE","TRUE","N",NA
"6074","Ave35","Ave35_dwn_B2",2014-01-18,"09:45:00","10:00:00","MeBa","MODO","Mourning Dove","40+",1,NA,"TRUE","FALSE","NE",NA
"6074","Ave35","Ave35_dwn_B2",2014-01-18,"09:45:00","10:00:00","MeBa","ROPI","Rock Pigeon","40+",1,NA,"TRUE","FALSE","N",NA
"6074","Ave35","Ave35_dwn_B2",2014-01-18,"09:45:00","10:00:00","MeBa","HOFI","House Finch","40+",1,NA,"FALSE","TRUE","E",NA
"6074","Ave35","Ave35_dwn_B2",2014-01-18,"09:45:00","10:00:00","MeBa","AMKE","American Kestrel","40+",1,"On top of pole","TRUE","FALSE","N",NA
"6074","Ave35","Ave35_dwn_B2",2014-01-18,"09:45:00","10:00:00","MeBa","YRWA","Yellow-rumped Warbler","40+",2,"Most likely more than 6 total","TRUE","TRUE","N",NA
"6074","Ave35","Ave35_dwn_B2",2014-01-18,"09:45:00","10:00:00","MeBa","SAPH","Say's Phoebe","40+",1,NA,"TRUE","FALSE","NW",NA
"6074","Ave35","Ave35_dwn_B2",2014-01-18,"09:45:00","10:00:00","MeBa","HOSP","House Sparrow","40+",1,NA,"FALSE","TRUE","E",NA
"6075","Ave35","Ave35_mid_B1",2014-01-18,"11:10:00","11:25:00","MeBa","HOSP","House Sparrow","40+",1,NA,"FALSE","TRUE","W",NA
"6075","Ave35","Ave35_mid_B1",2014-01-18,"11:10:00","11:25:00","MeBa","YRWA","Yellow-rumped Warbler","40+",1,NA,"FALSE","TRUE","W",NA
"6075","Ave35","Ave35_mid_B1",2014-01-18,"11:10:00","11:25:00","MeBa","ROPI","Rock Pigeon","40+",2,NA,"TRUE","FALSE","SW",NA
"6075","Ave35","Ave35_mid_B1",2014-01-18,"11:10:00","11:25:00","MeBa","BLPH","Black Phoebe","40+",1,"At CAP point on light pole (within 5m of point)","TRUE","TRUE","W",NA
"6075","Ave35","Ave35_mid_B1",2014-01-18,"11:10:00","11:25:00","MeBa","HOSP","House Sparrow","20-40",2,NA,"TRUE","FALSE","NW",NA
"6075","Ave35","Ave35_mid_B1",2014-01-18,"11:10:00","11:25:00","MeBa","BLPH","Black Phoebe","40+",1,NA,"TRUE","TRUE","W",NA
"6075","Ave35","Ave35_mid_B1",2014-01-18,"11:10:00","11:25:00","MeBa","ROPI","Rock Pigeon","40+",1,NA,"TRUE","FALSE","SW",NA
"6075","Ave35","Ave35_mid_B1",2014-01-18,"11:10:00","11:25:00","MeBa","NOHA","Northern Harrier","FT",1,"Flying very low; hunting something in veg. grove?","TRUE","FALSE","W",NA
"6076","Ave35","Ave35_dwn_B1",2014-01-18,"10:20:00","10:35:00","MeBa","YRWA","Yellow-rumped Warbler","20-40",4,"At least 3","TRUE","TRUE","S",NA
"6076","Ave35","Ave35_dwn_B1",2014-01-18,"10:20:00","10:35:00","MeBa","EUCD","Eurasian Collared-Dove","FT",2,NA,"TRUE","FALSE","W",NA
"6076","Ave35","Ave35_dwn_B1",2014-01-18,"10:20:00","10:35:00","MeBa","MAWR","Marsh Wren","20-40",1,NA,"FALSE","TRUE","S",NA
"6076","Ave35","Ave35_dwn_B1",2014-01-18,"10:20:00","10:35:00","MeBa","BLPH","Black Phoebe","20-40",1,NA,"FALSE","TRUE","E",NA
"6076","Ave35","Ave35_dwn_B1",2014-01-18,"10:20:00","10:35:00","MeBa","GTGR","Great-tailed Grackle","FT",11,NA,"TRUE","FALSE","NW",NA
"6076","Ave35","Ave35_dwn_B1",2014-01-18,"10:20:00","10:35:00","MeBa","HETH","Hermit Thrush","5-10",1,NA,"TRUE","TRUE","S",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","GTGR","Great-tailed Grackle","FT",4,NA,"TRUE","FALSE","N",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","GTGR","Great-tailed Grackle","FT",6,NA,"TRUE","FALSE","W",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","HOFI","House Finch","40+",4,NA,"TRUE","TRUE","S",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","KILL","Killdeer","40+",1,"Calling each other","FALSE","TRUE","W",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","BLPH","Black Phoebe","40+",1,NA,"FALSE","TRUE","W",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","GTGR","Great-tailed Grackle","FT",11,NA,"TRUE","FALSE","W",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","GTGR","Great-tailed Grackle","40+",4,NA,"TRUE","FALSE","W",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","SOSP","Song Sparrow","40+",2,NA,"FALSE","TRUE","W",NA
"6072","Ave35","Ave35_up_B2",2014-01-18,"08:26:00","08:41:00","MeBa","SAPH","Say's Phoebe","40+",1,NA,"TRUE","FALSE","N",NA
"6072","Ave35","Ave35_up_B2",2014-01-18,"08:26:00","08:41:00","MeBa","MODO","Mourning Dove","FT",4,NA,"TRUE","FALSE","E",NA
"6072","Ave35","Ave35_up_B2",2014-01-18,"08:26:00","08:41:00","MeBa","HOFI","House Finch","40+",18,NA,"TRUE","TRUE","S",NA
"6072","Ave35","Ave35_up_B2",2014-01-18,"08:26:00","08:41:00","MeBa","HOFI","House Finch","40+",4,"Joined others","TRUE","TRUE","S",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","ROPI","Rock Pigeon","FT",1,"Far","TRUE","FALSE","S",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","GTGR","Great-tailed Grackle","FT",7,NA,"TRUE","FALSE","W",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","GTGR","Great-tailed Grackle","FT",4,NA,"TRUE","FALSE","NW",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","YRWA","Yellow-rumped Warbler","40+",1,NA,"FALSE","TRUE","SW",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","VERD","Verdin","40+",1,NA,"FALSE","TRUE","SW",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","KILL","Killdeer","40+",1,NA,"FALSE","TRUE","NW",NA
"6071","Ave35","Ave35_up_B1",2014-01-18,"07:48:00","08:03:00","MeBa","MODO","Mourning Dove","FT",1,NA,"TRUE","FALSE","W",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","VERD","Verdin","40+",1,NA,"FALSE","TRUE","W",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","EUST","European Starling","FT",1,NA,"TRUE","FALSE","W",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","BLPH","Black Phoebe","20-40",1,"2 BLPH calling","TRUE","FALSE","W",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","MODO","Mourning Dove","FT",1,NA,"TRUE","FALSE","NE",NA
"6062","Priest","Priest_dwn_B2",2014-01-22,"09:39:00","09:54:00","MeBa","HOFI","House Finch","20-40",1,NA,"TRUE","TRUE","W",NA
"6062","Priest","Priest_dwn_B2",2014-01-22,"09:39:00","09:54:00","MeBa","MAWR","Marsh Wren","20-40",1,NA,"FALSE","TRUE","N",NA
"6062","Priest","Priest_dwn_B2",2014-01-22,"09:39:00","09:54:00","MeBa","HOFI","House Finch","FT",2,NA,"TRUE","FALSE","NW",NA
"6062","Priest","Priest_dwn_B2",2014-01-22,"09:39:00","09:54:00","MeBa","OCWA","Orange-crowned Warbler","20-40",1,"High pitch similar to WCSP/BTSP","TRUE","TRUE","W",NA
"6062","Priest","Priest_dwn_B2",2014-01-22,"09:39:00","09:54:00","MeBa","MODO","Mourning Dove","20-40",1,NA,"TRUE","FALSE","SE",NA
"6062","Priest","Priest_dwn_B2",2014-01-22,"09:39:00","09:54:00","MeBa","ANHU","Anna's Hummingbird","5-10",1,NA,"TRUE","TRUE","N",NA
"6062","Priest","Priest_dwn_B2",2014-01-22,"09:39:00","09:54:00","MeBa","ROPI","Rock Pigeon","FT",4,NA,"TRUE","FALSE","NW",NA
"6062","Priest","Priest_dwn_B2",2014-01-22,"09:39:00","09:54:00","MeBa","BLPH","Black Phoebe","20-40",1,NA,"TRUE","TRUE","N",NA
"6062","Priest","Priest_dwn_B2",2014-01-22,"09:39:00","09:54:00","MeBa","BLPH","Black Phoebe","40+",1,NA,"TRUE","TRUE","N",NA
"6062","Priest","Priest_dwn_B2",2014-01-22,"09:39:00","09:54:00","MeBa","ABTO","Abert's Towhee","40+",1,NA,"FALSE","TRUE","W",NA
"6062","Priest","Priest_dwn_B2",2014-01-22,"09:39:00","09:54:00","MeBa","EUST","European Starling","FT",1,NA,"TRUE","FALSE","W",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","ABTO","Abert's Towhee","20-40",2,NA,"TRUE","TRUE","W",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","MAWR","Marsh Wren","10-20",1,NA,"FALSE","TRUE","N",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","RWBL","Red-winged Blackbird","40+",300,"Took off from marsh along channel. Did hear/see any RWBL for the rest of the time I was there(11:30).","TRUE","TRUE","N",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","GTGR","Great-tailed Grackle","FT",1,NA,"TRUE","TRUE","W",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","RTHA","Red-tailed Hawk","40+",1,"On top of powerline","TRUE","FALSE","SE",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","ANHU","Anna's Hummingbird","10-20",1,NA,"TRUE","FALSE","SE",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","BLPH","Black Phoebe","40+",1,NA,"TRUE","TRUE","SE",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","UNWO","Unidentified Woodpecker","40+",1,NA,"FALSE","TRUE","SW",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","ROPI","Rock Pigeon","FT",2,NA,"TRUE","FALSE","W",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","MODO","Mourning Dove","FT",2,NA,"TRUE","FALSE","SE",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","GTGR","Great-tailed Grackle","40+",1,"Far","FALSE","TRUE","N",NA
"6063","Priest","Priest_mid_B2",2014-01-22,"07:51:00","08:06:00","MeBa","HOFI","House Finch","FT",2,NA,"TRUE","TRUE","S",NA
"6062","Priest","Priest_dwn_B2",2014-01-22,"09:39:00","09:54:00","MeBa","YRWA","Yellow-rumped Warbler","10-20",1,NA,"TRUE","TRUE","SW",NA
"6058","Priest","Priest_dwn_B1",2014-01-22,"10:24:00","10:39:00","MeBa","KILL","Killdeer","40+",1,NA,"FALSE","TRUE","SW",NA
"6058","Priest","Priest_dwn_B1",2014-01-22,"10:24:00","10:39:00","MeBa","RTHA","Red-tailed Hawk","10-20",1,"On powerline pole","TRUE","FALSE","NE",NA
"6058","Priest","Priest_dwn_B1",2014-01-22,"10:24:00","10:39:00","MeBa","HOFI","House Finch","40+",1,NA,"FALSE","TRUE","S",NA
"6058","Priest","Priest_dwn_B1",2014-01-22,"10:24:00","10:39:00","MeBa","ABTO","Abert's Towhee","40+",1,NA,"FALSE","TRUE","NE",NA
